outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
220,italian,0.5,0.0005,5,2.095813274383545,1.3921082019805908,0.421509325504303,1.8778773546218872,1.4033312797546387,0.43987390398979187,4.663875579833984,3.341350555419922
220,portuguese,0.5,0.0005,5,1.8861008882522583,1.1802419424057007,0.41146206855773926,1.9212247133255005,1.2904351949691772,0.43146800994873047,4.54437780380249,3.715384006500244
220,spanish,0.5,0.0005,5,1.478711724281311,1.3413183689117432,0.389435738325119,1.5619916915893555,1.3218698501586914,0.44981852173805237,4.270986080169678,3.568849802017212
230,french,0.5,0.0005,5,2.1618473529815674,1.3266223669052124,0.36811232566833496,1.9537220001220703,1.3401434421539307,0.4369332790374756,4.33449649810791,3.5522654056549072
230,german,0.5,0.0005,5,2.2241151332855225,1.3526415824890137,0.4038315713405609,2.1110150814056396,1.3895879983901978,0.46826285123825073,5.178280353546143,3.4848952293395996
230,italian,0.5,0.0005,5,1.9275867938995361,1.1766598224639893,0.391848087310791,1.777159571647644,1.4443634748458862,0.4310138523578644,4.663875579833984,3.341350555419922
230,portuguese,0.5,0.0005,5,1.6712417602539062,1.2200522422790527,0.3711468279361725,1.6310861110687256,1.1713151931762695,0.4615294933319092,4.54437780380249,3.715384006500244
230,spanish,0.5,0.0005,5,1.6235908269882202,1.353853702545166,0.39059534668922424,1.5366443395614624,1.3866493701934814,0.4736937880516052,4.270986080169678,3.568849802017212
240,french,0.5,0.0005,5,2.135981559753418,1.2710272073745728,0.3923375606536865,1.7217020988464355,1.2005500793457031,0.5288426280021667,4.33449649810791,3.5522654056549072
240,german,0.5,0.0005,5,2.1011030673980713,1.3247075080871582,0.45007699728012085,1.9580165147781372,1.2574081420898438,0.4695248007774353,5.178280353546143,3.4848952293395996
240,italian,0.5,0.0005,5,1.6531143188476562,1.439672589302063,0.3962424099445343,1.6412999629974365,1.3917241096496582,0.5101768374443054,4.663875579833984,3.341350555419922
240,portuguese,0.5,0.0005,5,1.6796200275421143,1.368147373199463,0.4313364624977112,1.6940110921859741,1.443015456199646,0.4352889358997345,4.54437780380249,3.715384006500244
